iter	Passed	Remaining
0	1	130
1	2	127
2	3	117
3	4	105
4	5	105
5	6	103
6	7	101
7	8	99
8	9	98
9	10	97
10	11	96
11	12	94
12	13	92
13	14	91
14	16	91
15	17	90
16	18	90
17	19	90
18	20	88
19	21	87
20	22	86
21	24	86
22	25	85
23	26	84
24	27	83
25	28	82
26	30	81
27	31	79
28	32	79
29	33	78
30	34	77
31	35	76
32	37	75
33	38	74
34	39	73
35	40	72
36	42	71
37	43	70
38	44	69
39	45	68
40	46	67
41	47	65
42	48	64
43	49	63
44	50	61
45	51	60
46	52	59
47	53	58
48	55	57
49	56	56
50	57	55
51	58	53
52	59	52
53	60	51
54	61	50
55	62	49
56	63	48
57	64	46
58	66	45
59	67	44
60	68	43
61	69	42
62	70	41
63	72	40
64	73	39
65	74	38
66	75	37
67	76	36
68	78	35
69	79	34
70	80	32
71	81	31
72	83	30
73	84	29
74	85	28
75	86	27
76	87	26
77	89	25
78	90	23
79	91	22
80	92	21
81	93	20
82	95	19
83	96	18
84	97	17
85	98	16
86	99	14
87	101	13
88	102	12
89	103	11
90	104	10
91	105	9
92	106	8
93	108	6
94	109	5
95	110	4
96	111	3
97	112	2
98	113	1
99	114	0
